phone_number,company_name,contact_name,location,equipment_category,total_listings,priority_score,call_status,call_attempts,last_call_date
(833) 251.8018,‘ Texas Capital Investments,,"Yakima, Washington",wheel loaders,426,90,not_called,0,
923176 0119,‘ Omnia Machinery,,"York, England, United Kingdom",trenchers/cable plows,215,90,not_called,0,
625 134 4523,‘ TIM MCDOWELL EQUIP LTD,,"Woodstock, Ontario, Canada",wheel loaders,194,90,not_called,0,
(530) 867-0588,‘ HENDRIX RENTALS LLC,,"idaho Falls ano Location: Kuli, Hawai Location: Glasgow, Montana",trenchers/cable plows,192,90,not_called,0,
(633) 251-8018,"‘ Snider Equipment, LLC",,"Yuma, Arizona",wheel loaders,164,90,not_called,0,
(801) 639.9505,‘ Wheeler Power Systems,,"summerville, South Carolina",wheel loaders,154,90,not_called,0,
(636) 384.4031,"‘ Norton Equipment Sales, LLC",,"West Palm Beach, Florida",wheel loaders,141,90,not_called,0,
888.477.1713,‘ Texas Star Equipment Sales & Rental,,"Womelsdort, Pennsylvania",drills,137,90,not_called,0,
625 134.4523,‘ Williamson Equipment,,"uauhtémoc, Chihuahua, Mexico",wheel loaders,136,90,not_called,0,
(717) 896.7017,‘ Total Equipment & Rental (Bobcat),,"Wichita, Kansas",skid steers,133,90,not_called,0,
871-471-6953,‘ White Rock Equipment,,"jorwalk, Wisconsin",skid steers,131,90,not_called,0,
(636) 384.4028,‘ Wyoming Machinery Company,,"Windham, New Hampshire",wheel loaders,127,90,not_called,0,
(830) 914.0700,‘ Zana Farm,,"‘alispell, Montana",wheel loaders,120,90,not_called,0,
(303) 900-5875,‘Sales - Alanson,,"Yuma, Arizona",wheel loaders,119,90,not_called,0,
530.867.0588,‘ Pristine Machinery,,"Woodland, California",trenchers/cable plows,116,90,not_called,0,
833-251-8018,‘ TRULAND Equipment - Napoleon,,"Worthington, Minnesota",skid steers,115,90,not_called,0,
(737) 207-9248,‘ Wyoming Machinery Company,,"jongview, Texas",wheel loaders,112,90,not_called,0,
(636) 384.4021,‘ The Sandman's Toybox,,"Wixom, Michigan",wheel loaders,104,90,not_called,0,
(717) 996-7017,‘ Van Wall Equipment - Nevada,,"Wills Point, Texas",skid steers,104,90,not_called,0,
(480) 425.3389,‘ Pfeifer Implement,,"Wiliston, North Dakota",wheel loaders,102,90,not_called,0,
(904) 494.1215,‘ Wyoming Machinery Company,,"Watkins, Colorado",wheel loaders,102,90,not_called,0,
(214) 301.7055,"‘ West Point Implement, Inc,",,"West Valley City, Utah",wheel loaders,101,90,not_called,0,
865.761.7078,‘ CENTRAL ATLANTA TRACTOR SALES,,"rant, Michigan",wheel loaders,101,90,not_called,0,
(305) 481.8056,‘ White's Construction Co. Inc.,,"Yukon, Oklahoma",wheel loaders,99,90,not_called,0,
(952) 687-4802,‘ Yellow Iron Equipment,,‘email Seller,wheel loaders,96,90,not_called,0,
(406) 982.7091,‘ Wyatt Heavy Equipment,,"Yakima, Washington",wheel loaders,95,90,not_called,0,
801.639-9505,‘ Wheeler Power Systems,,"Wichita, Kansas",wheel loaders,95,90,not_called,0,
(480) 425-3389,‘ NEWLONS INTERNATIONAL SALES -,,"‘uma, Arizona",wheel loaders,90,90,not_called,0,
